tok1,tok2,tok3,tok4,tok5,target
2025,3198,1010,2021,12934,1010
1010,2190,5004,102,101,2115
2115,12923,1011,2005,19677,1029
1029,102,101,102,101,2353
2353,6926,1024,102,101,2002
2002,1005,1055,2025,12210,1005
1005,1040,1025,2057,2089,9772
9772,2032,2664,1012,102,101
101,102,101,2117,6926,1024
1024,102,101,1998,2097,9772
9772,2032,1024,102,101,1045
1045,1005,2222,2031,2274,3634
3634,5755,1997,2008,2614,1012
1012,102,101,102,101,2034
2034,6926,1024,102,101,1045
1045,3807,2274,3634,1998,2037
2037,2814,2000,3538,1005,7861
7861,1012,102,101,102,101
101,7987,23998,1024,102,101
101,2131,2017,6516,6880,1010
1010,1998,2425,2216,2814,1010
1010,102,101,2027,2031,4900
4900,1037,11801,2008,2097,2013
2013,2068,2202,102,101,2037
2037,18271,1025,2191,2068,1997
1997,2053,2062,2376,102,101
101,2084,6077,2008,2024,2004
2004,2411,3786,2005,19372,102
102,101,2004,3568,2921,2000
2000,2079,2061,1012,102,101
101,102,101,14387,5498,2271
2271,1024,102,101,2292,2068
2068,21365,1010,102,101,1998
1998,2006,1037,13726,8689,2035
2035,7065,11045,102,101,2115
2115,21591,2602,1025,16306,2010
2010,6620,1010,102,101,1998
1998,2010,2214,5223,19662,2017
2017,1025,4661,1010,5293,2025
2025,102,101,2007,2054,17152
17152,2002,5078,1996,15716,17901
17901,1010,102,101,2129,1999
1999,2010,4848,2002,8040,9691
9691,1005,1040,2017,1025,2021
2021,2115,7459,1010,102,101
101,3241,2588,2010,2578,1010
1010,2165,2013,2017,102,101
101,1996,25809,1997,2010,2556
2556,3417,6651,1010,102,101
101,2029,2087,21025,10472,2135
2135,1010,4895,12830,2135,1010
1010,2002,2106,4827,102,101
101,2044,1996,1999,19510,22139
22139,5223,2002,6468,2017,1012
1012,102,101,102,101,7987
7987,23998,1024,102,101,3913
3913,102,101,1037,6346,2006
2006,2149,1010,2115,10969,2015
2015,1025,2008,2057,4428,2098
2098,1010,102,101,2053,17727
17727,2098,14428,3372,2090,1010
1010,2021,2008,2017,2442,102
102,101,3459,2115,2602,2006
2006,2032,1012,102,101,102
102,101,14387,5498,2271,1024
1024,102,101,2360,1010,2017
2017,4900,2032,102,101,2062
2062,2044,2256,3094,3672,2084
2084,2004,8546,102,101,2011
2011,2115,2219,2995,12242,2015
2015,1010,1998,2008,2115,9273
9273,1010,102,101,23962,2007
2007,2054,2017,2738,2442,2079
2079,102,101,2084,2054,2017
2017,2323,1010,2081,2017,2114
2114,1996,8982,102,101,2000
2000,2376,2032,11801,1024,3913
3913,1996,6346,2006,2149,1012
1012,102,101,102,101,7987
7987,23998,1024,102,101,1037
1037,2100,1010,8622,2149,2025
2025,1012,2360,2057,3191,8921
8921,2000,2017,1012,102,101
101,2129,2402,2135,2002,2211
2211,2000,3710,2010,2406,1010
1010,102,101,2129,2146,2506
2506,1010,1998,2054,4518,2002
2002,6076,1997,1010,102,101
101,1996,7015,2160,1051,1005
1005,1996,22548,3619,1010,2013
2013,2043,3401,2234,102,101
101,2008,2019,7874,7871,4173
4173,1010,16371,2863,1005,1055
1055,2684,1005,1055,2365,1010
1010,102,101,2040,1010,2044
2044,2307,3677,18622,2271,1010
1010,2182,2001,2332,1025,102
102,101,1997,1996,2168,2160
2160,9047,15513,1998,21864,3372
3372,2271,2020,1010,102,101
101,2008,2256,3786,2300,2716
2716,2011,9530,8566,12762,2718
2718,5886,1025,102,101,1998
1998,102,101,3807,2108,102
102,101,2001,2010,2307,13032
13032,1012,102,101,102,101
101,14387,5498,2271,1024,102
102,101,2028,2947,9287,1010
1010,102,101,2008,6045,2232
2232,3875,2092,1999,2010,2711
2711,18481,102,101,2000,2022
2022,2275,2152,1999,2173,1010
1010,2057,2106,4012,3549,2094
2094,102,101,2000,2115,19451
19451,2015,1024,2021,2017,2031
2031,2179,1010,102,101,25169
25169,2010,2556,7682,2007,2010
2010,2627,1010,102,101,2008
2008,2002,1005,1055,2115,4964
4964,4099,1010,1998,7065,11045
11045,102,101,2115,5573,10439
10439,3217,23757,1012,102,101
101,102,101,7987,23998,1024
1024,102,101,2360,1010,2017
2017,11265,1005,9413,2018,2589
2589,1005,1056,1011,1011,102
102,101,14601,2006,2008,2145
2145,1011,1011,2021,2011,2256
2256,5128,2006,1025,102,101
101,1998,12825,1010,2043,2017
2017,2031,4567,2115,2193,1010
1010,102,101,7192,2000,1996
1996,9424,1012,102,101,102
102,101,2035,1024,102,101
101,2057,2097,2061,1024,2471
2471,2035,102,101,16360,4765
4765,1999,2037,2602,1012,102
102,101,102,101,7987,23998
23998,1024,102,101,2292,2068
2068,2175,2006,1025,102,101
101,2023,19306,2020,2488,2404
2404,1999,15559,1010,102,101
101,2084,2994,1010,2627,4797
4797,1010,2005,3618,1024,102
102,101,2065,1010,2004,2010
2010,3267,2003,1010,2002,2991
2991,1999,7385,102,101,2007
2007,2037,13948,1010,2119,11949
11949,1998,3437,102,101,1996
1996,27274,1997,2010,4963,1012
1012,102,101,102,101,14387
14387,5498,2271,1024,102,101
101,2000,1996,9424,1010,2272
2272,1024,102,101,2057,2097
2097,2022,2045,2077,1996,5460
5460,1051,1005,1996,2111,1025
1025,102,101,1998,2023,4618
4618,4025,1010,2004,6576,1005
1005,22320,1010,2037,2219,1010
1010,102,101,2029,2057,2031
2031,15244,5732,15834,1012,102
102,101,102,101,2522,9488
9488,5802,2271,1024,102,101
101,10722,20159,21200,28173,2271
2271,2059,2018,2081,2047,2132
2132,1029,102,101,102,101
101,2474,28228,2271,1024,102
102,101,2002,2018,1010,2026
2026,2935,1025,1998,2008,2009
2009,2001,2029,3303,102,101
101,2256,9170,2121,5512,1012
1012,102,101,102,101,2522
2522,9488,5802,2271,1024,102
102,101,2061,2059,1996,18709
18709,9623,3233,2021,2004,2012
2012,2034,1010,102,101,3201
3201,1010,2043,2051,4618,25732
25732,2068,1010,2000,2191,2346
2346,1012,102,101,2588,1005
1005,1055,2153,1012,102,101
101,102,101,4012,5498,2271
2271,1024,102,101,2027,2024
2024,6247,1010,2935,11801,1010
1010,2061,1010,102,101,2008
2008,2057,4618,6684,1999,2256
2256,5535,2156,102,101,2037
2037,23562,4400,2153,1012,102
102,101,102,101,2522,9488
9488,5802,2271,1024,102,101
101,2387,2017,21200,28173,2271
2271,1029,102,101,102,101
101,2474,28228,2271,1024,102
102,101,2006,3647,1011,3457
3457,2002,2234,2000,2033,1025
1025,1998,2106,8364,102,101
101,2114,1996,18709,9623,1010
1010,2005,2027,2018,2061,25047
25047,2135,102,101,17544,1996
1996,2237,1024,2002,2003,3394
3394,2000,3424,2819,1012,102
102,101,102,101,2522,9488
9488,5802,2271,1024,102,101
101,3764,2002,1997,2033,1029
1029,102,101,102,101,2474
2474,28228,2271,1024,102,101
101,2002,2106,1010,2026,2935
2935,1012,102,101,102,101
101,2522,9488,5802,2271,1024
1024,102,101,2129,1029,2054
2054,1029,102,101,102,101
101,2474,28228,2271,1024,102
102,101,2129,2411,2002,2018
2018,2777,2017,1010,4690,2000
2000,4690,1025,102,101,2008
2008,1997,2035,2477,2588,1996
1996,3011,2002,6283,102,101
101,2115,2711,2087,1010,2008
2008,2002,2052,19175,2010,18023
18023,102,101,2000,20625,2717
2717,4183,13700,1010,2061,2002
2002,2453,102,101,2022,2655
2655,1005,1040,2115,3158,15549
15549,19603,1012,102,101,102
102,101,2522,9488,5802,2271
2271,1024,102,101,2012,3424
3424,2819,3268,2002,1029,102
102,101,102,101,2474,28228
28228,2271,1024,102,101,2012
2012,3424,2819,1012,102,101
101,102,101,2522,9488,5802
5802,2271,1024,102,101,1045
1045,4299,1045,2018,1037,3426
3426,2000,6148,2032,2045,1010
1010,102,101,2000,15391,2010
2010,11150,3929,1012,6160,2188
2188,1012,102,101,27541,1010
1010,2122,2024,1996,10969,2015
2015,1997,1996,2111,1010,102
102,101,1996,19677,1051,1005
1005,1996,2691,2677,1024,1045
1045,2079,4078,18136,2063,2068
2068,1025,102,101,2005,2027
2027,2079,26418,2068,1999,3691
3691,1010,102,101,2114,2035
2035,7015,9015,6651,1012,102
102,101,102,101,14387,5498
5498,2271,1024,102,101,3413
3413,2053,2582,1012,102,101
101,102,101,2522,9488,5802
5802,2271,1024,102,101,5292
5292,999,2054,2003,2008,1029
1029,102,101,102,101,7987
7987,23998,1024,102,101,2009
2009,2097,2022,4795,2000,2175
2175,2006,1024,2053,2582,1012
1012,102,101,102,101,2522
2522,9488,5802,2271,1024,102
102,101,2054,3084,2023,2689
2689,1029,102,101,102,101
101,2273,18595,2271,1024,102
102,101,1996,3043,1029,102
102,101,102,101,4012,5498
5498,2271,1024,102,101,6045
6045,2232,2002,2025,3413,1005
1005,1040,1996,7015,1998,1996
1996,2691,1029,102,101,102
102,101,7987,23998,1024,102
102,101,4012,5498,2271,1010
1010,2053,1012,102,101,102
102,101,2522,9488,5802,2271
2271,1024,102,101,2031,1045
1045,2018,2336,1005,1055,5755
5755,1029,102,101,102,101
101,2034,5205,1024,102,101
101,10969,2015,1010,2507,2126
2126,1025,2002,4618,2000,1996
1996,3006,1011,2173,1012,102
102,101,102,101,7987,23998
23998,1024,102,101,1996,2111
2111,2024,28647,2094,2114,2032
2032,1012,102,101,102,101
101,14387,5498,2271,1024,102
102,101,2644,1010,102,101
101,2030,2035,2097,2991,1999
1999,22953,4014,1012,102,101
101,102,101,2522,9488,5802
5802,2271,1024,102,101,2024
2024,2122,2115,14906,1029,102
102,101,2442,2122,2031,5755
5755,1010,2008,2064,10750,2068
2068,2085,102,101,1998,3442
3442,5860,19771,2213,2037,19677
19677,1029,2054,2024,102,101
101,2115,4822,1029,102,101
101,2017,2108,2037,15076,1010
1010,2339,3627,2017,2025,2037
2037,4091,1029,102,101,2031
2031,2017,2025,2275,2068,2006
2006,1029,102,101,102,101
101,2273,18595,2271,1024,102
102,101,2022,5475,1010,2022
2022,5475,1012,102,101,102
102,101,2522,9488,5802,2271
2271,1024,102,101,2009,2003
2003,1037,3800,2094,2518,1010
1010,1998,7502,2011,5436,1010
1010,102,101,2000,13730,1996
1996,2097,1997,1996,11760,1024
1024,102,101,9015,1005,1056
1056,1010,1998,2444,2007,2107
2107,2004,3685,3627,102,101
101,4496,2412,2097,2022,5451
5451,1012,102,101,102,101
101,7987,23998,1024,102,101
101,2655,1005,1056,2025,1037
1037,5436,1024,102,101,1996
1996,2111,5390,2017,12934,1005
1005,1040,2068,1010,1998,1997
1997,2397,1010,102,101,2043
2043,9781,2001,2445,2068,24665
24665,10450,2015,1010,2017,16360
16360,21280,1025,102,101,9446
9446,1005,1040,1996,10514,9397
9397,15204,3215,2005,1996,2111
2111,1010,2655,1005,1040,2068
2068,102,101,2051,1011,3531
3531,2869,1010,4257,3334,2545
2545,1010,22277,2015,2000,7015
7015,2791,1012,102,101,102
102,101,2522,9488,5802,2271
2271,1024,102,101,2339,1010
1010,2023,2001,2124,2077,1012
1012,102,101,102,101,7987
7987,23998,1024,102,101,2025
2025,2000,2068,2035,1012,102
102,101,102,101,2522,9488
9488,5802,2271,1024,102,101
101,2031,2017,12367,1005,1040
1040,2068,4133,10222,3401,1029
1029,102,101,102,101,7987
7987,23998,1024,102,101,2129
2129,999,1045,12367,2068,999
999,102,101,102,101,2522
2522,9488,5802,2271,1024,102
102,101,2017,2024,2066,2000
2000,2079,2107,2449,1012,102
102,101,102,101,7987,23998
23998,1024,102,101,2025,4406
4406,1010,102,101,2169,2126
2126,1010,2000,2488,6737,1012
1012,102,101,102,101,2522
2522,9488,5802,2271,1024,102
102,101,2339,2059,2323,1045
1045,2022,11801,1029,2011,10930
10930,4859,8044,1010,102,101
101,2292,2033,10107,2061,5665
5665,2004,2017,1010,1998,2191
2191,2033,102,101,2115,3507
3507,10969,1012,102,101,102
102,101,14387,5498,2271,1024
1024,102,101,2017,2265,2205
2205,2172,1997,2008,102,101
101,2005,2029,1996,2111,16130
16130,1024,2065,2017,2097,3413
3413,102,101,2000,2073,2017
2017,2024,5391,1010,2017,2442
2442,1999,15549,2890,2115,2126
2126,1010,102,101,2029,2017
2017,2024,2041,1997,1010,2007
2007,1037,7132,2099,4382,1010
1010,102,101,2030,2196,2022
2022,2061,7015,2004,1037,11801
11801,1010,102,101,4496,10930
10930,3489,2007,2032,2005,10969
10969,1012,102,101,102,101
101,2273,18595,2271,1024,102
102,101,2292,1005,1055,2022
2022,5475,1012,102,101,102
102,101,4012,5498,2271,1024
1024,102,101,1996,2111,2024
2024,16999,1025,2275,2006,1012
1012,2023,14412,17989,102,101
101,4150,2025,4199,1010,4496
4496,2038,2522,9488,5802,2271
2271,102,101,10849,2023,2061
2061,9841,17175,3126,1005,1040
1040,14548,1010,4201,23123,102
102,101,1045,1005,1996,5810
5810,2126,1997,2010,7857,1012
1012,102,101,102,101,2522
2522,9488,5802,2271,1024,102
102,101,2425,2033,1997,9781
9781,999,102,101,2023,2001
2001,2026,4613,1010,1998,1045
1045,2097,3713,1005,1056,2153
2153,1011,1011,102,101,102
102,101,2273,18595,2271,1024
1024,102,101,2025,2085,1010
1010,2025,2085,1012,102,101
101,102,101,2034,5205,1024
1024,102,101,2025,1999,2023
2023,3684,1010,2909,1010,2085
2085,1012,102,101,102,101
101,2522,9488,5802,2271,1024
1024,102,101,2085,1010,2004
2004,1045,2444,1010,1045,2097
2097,1012,2026,7015,2099,2814
2814,1010,102,101,1045,13675
13675,10696,2037,14933,2015,1024
1024,102,101,2005,1996,14163
14163,10880,1010,4635,1011,25738
25738,2116,1010,2292,2068,102
102,101,7634,2033,2004,1045
1045,2079,2025,4257,3334,1010
1010,1998,102,101,2045,2378
2378,27541,3209,1024,1045,2360
2360,2153,1010,102,101,1999
1999,16684,2068,1010,2057,2053
2053,9496,4095,1005,12154,2102
2102,2256,4001,102,101,1996
1996,10338,2571,1997,7417,1010
1010,16021,9890,5897,1010,7367
7367,20562,1010,102,101,2029
2029,2057,9731,2031,20228,10593
10593,1005,1040,2005,1010,2061
2061,2860,1005,1040,1010,102
102,101,1998,8040,20097,1005
1005,1040,1010,102,101,2011
2011,11861,2989,2068,2007,2149
2149,1010,1996,6225,1005,1040
1040,2193,1010,102,101,2040
2040,3768,2025,11870,1010,2053
2053,1010,4496,2373,1010,2021
2021,2008,102,101,2029,2027
2027,2031,2445,2000,11693,6843
6843,2015,1012,102,101,102
102,101,2273,18595,2271,1024
1024,102,101,2092,1010,2053
2053,2062,1012,102,101,102
102,101,2034,5205,1024,102
102,101,2053,2062,2616,1010
1010,2057,2022,19763,2818,2017
2017,1012,102,101,102,101
101,2522,9488,5802,2271,1024
1024,102,101,2129,999,2053
2053,2062,999,102,101,2004
2004,2005,2026,2406,1045,2031
2031,8328,2026,2668,1010,102
102,101,2025,14892,15436,2486
2486,1010,2061,4618,2026,8948
8948,102,101,9226,2616,6229
6229,2037,13121,2114,2216,2033
2033,3022,4244,1010,102,101
101,2029,2057,25134,2323,11937
11937,12079,2149,1010,2664,4912
4912,102,101,1996,2200,2126
2126,2000,4608,2068,1012,102
102,101,102,101,7987,23998
23998,1024,102,101,2017,3713
3713,1051,1005,1996,2111,1010
1010,102,101,2004,2065,2017
2017,2020,1037,2643,2000,16385
16385,1010,2025,102,101,1037
1037,2158,1997,2037,1999,27972
27972,3012,1012,102,101,102
102,101,14387,5498,2271,1024
1024,102,101,1005,1056,13777
13777,2063,2092,102,101,2057
2057,2292,1996,2111,2113,1005
1005,1056,1012,102,101,102
102,101,2273,18595,2271,1024
1024,102,101,2054,1010,2054
2054,1029,2010,16480,3917,1029
1029,102,101,102,101,2522
2522,9488,5802,2271,1024,102
102,101,16480,3917,999,102
102,101,2020,1045,2004,5776
5776,2004,1996,7090,3637,1010
1010,102,101,2011,8183,3726
3726,1010,1005,2048,21285,2022
2022,2026,2568,999,102,101
101,102,101,14387,5498,2271
2271,1024,102,101,2009,2003
2003,1037,2568,102,101,2008
2008,4618,3961,1037,9947,2073
2073,2009,2003,1010,102,101
101,2025,9947,2151,2582,1012
1012,102,101,102,101,2522
2522,9488,5802,2271,1024,102
102,101,4618,3961,999,102
102,101,2963,2017,2023,13012
13012,2669,1997,1996,8117,19779
19779,2015,1029,2928,2017,102
102,101,2010,7619,1005,4618
4618,1005,1029,102,101,102
102,101,4012,5498,2271,1024
1024,102,101,1005,1056,17311
17311,2013,1996,9330,1012,102
102,101,102,101,2522,9488
9488,5802,2271,1024,102,101
101,1005,4618,1005,999,102
102,101,1051,2204,2021,2087
2087,4895,14244,10717,3619,999
999,2339,1010,102,101,2017
2017,6542,2021,18555,10153,1010
1010,2031,2017,2947,102,101
101,2445,26018,2182,2000,5454
5454,2019,2961,1010,102,101
101,2008,2007,2010,23976,27718
27718,10253,1005,4618,1010,1005
1005,2108,2021,102,101,1996
1996,7109,1998,5005,1051,1005
1005,1996,6071,1005,1055,1010
1010,4122,2025,4382,102,101
101,2000,2360,2002,1005,2222
2222,2735,2115,2783,1999,1037
1037,14033,1010,102,101,1998
1998,2191,2115,3149,2010,1029
1029,2065,2002,2031,2373,102
102,101,2059,12436,4014,2115
2115,18173,1025,2065,3904,1010
1010,8300,102,101,2115,4795
4795,18798,3012,1012,2065,2017
2017,2024,4553,1005,1040,1010
1010,102,101,2022,2025,2004
2004,2691,18656,1025,2065,2017
2017,2024,2025,1010,102,101
101,2292,2068,2031,27205,2011
2011,2017,1012,2017,2024,20228
20228,15878,27958,3619,1010,102
102,101,2065,2027,2022,10153
10153,1024,1998,2027,2024,2053
2053,2625,1010,102,101,2043
2043,1010,2119,2115,5755,19803
19803,1010,1996,2307,1005,2358
2358,5510,102,101,2087,14412
14412,8520,17156,1012,2027,5454
5454,2037,14351,1010,102,101
101,1998,2107,1037,2028,2004
2004,2002,1010,2040,8509,2010
2010,1005,4618,1010,1005,102
102,101,2010,2759,1005,4618
4618,1005,2114,1037,6542,2099
2099,6847,102,101,2084,2412
2412,11330,1999,5483,1012,2011
2011,8183,3726,2370,999,102
102,101,2009,3084,1996,11801
11801,2015,2918,1024,1998,2026
2026,3969,12336,2015,102,101
101,2000,2113,1010,2043,2048
2048,4614,2024,2039,1010,102
102,101,4445,4259,1010,2129
2129,2574,6724,102,101,2089
2089,4607,1005,1056,9148,18413
18413,1996,6578,1997,2119,1998
1998,2202,102,101,1996,2028
2028,2011,1996,2060,1012,102
102,101,102,101,4012,5498
5498,2271,1024,102,101,2092
2092,1010,2006,2000,1996,3006
3006,1011,2173,1012,102,101
101,102,101,2522,9488,5802
5802,2271,1024,102,101,9444
9444,2435,2008,9517,1010,2000
2000,2507,5743,102,101,1996
1996,9781,1051,1005,1996,3573
3573,4580,24665,10450,2015,1010
1010,2004,1005,1056,17311,2109
2109,102,101,8811,1999,5483
5483,1010,1011,1011,102,101
101,102,101,2273,18595,2271
2271,1024,102,101,2092,1010
1010,2092,1010,2053,2062,1997
1997,2008,1012,102,101,102
102,101,2522,9488,5802,2271
2271,1024,102,101,2295,2045
2045,1996,2111,2018,2062,7619
7619,2373,1010,102,101,1045
1045,2360,1010,2027,2053,9496
9496,4095,1005,1040,4487,6499
6499,8270,13684,1010,7349,102
102,101,1996,10083,1997,1996
1996,2110,1012,102,101,102
102,101,7987,23998,1024,102
102,101,2339,1010,4618,1996
1996,2111,2507,102,101,2028
2028,2008,8847,2947,2037,2376
2376,1029,102,101,102,101
101,2522,9488,5802,2271,1024
1024,102,101,1045,1005,2222
2222,2507,2026,4436,1010,102
102,101,2062,4276,3771,2084
2084,2037,5755,1012,2027,2113
2113,1996,9781,102,101,2001
2001,2025,2256,28667,25377,16700
16700,1010,8345,2092,8916,102
102,101,2008,11265,1005,9413
9413,2106,2326,2005,1005,1056
1056,1024,2108,2811,1005,1040
1040,2000,1996,2162,1010,102
102,101,2130,2043,1996,12847
12847,2140,1997,1996,2110,2001
2001,3543,1005,1040,1010,102
102,101,2027,2052,2025,11689
11689,1996,6733,1012,2023,2785
2785,1997,2326,102,101,2106
2106,2025,10107,9781,24665,10450
10450,2015,1012,2108,1045,1005
1005,1996,2162,102,101,2037
2037,14163,7629,3111,1998,10073
10073,2015,1010,16726,2027,2265
2265,1005,1040,102,101,2087
2087,11748,8162,1010,3764,2025
2025,2005,2068,1024,1996,19238
19238,102,101,2029,2027,2031
2031,2411,2081,2114,1996,4001
4001,1010,102,101,2035,3426
3426,4895,10280,1010,2071,2196
2196,2022,1996,15793,102,101
101,1997,2256,2061,3581,13445
13445,1012,2092,1010,2054,2059
2059,1029,102,101,2129,4618
4618,2023,20377,3385,20889,17886
17886,102,101,1996,4001,1005
1005,1055,14571,1029,2292,15616
15616,4671,102,101,2054,1005
1005,1055,2066,2000,2022,2037
2037,2616,1024,1005,2057,2106
2106,5227,2009,1025,102,101
101,2057,2024,1996,3618,8554
8554,1010,1998,1999,2995,3571
3571,102,101,2027,2435,2149
2149,2256,7670,1012,1005,2947
2947,2057,2139,15058,102,101
101,1996,3267,1997,2256,4272
4272,1998,2191,1996,10958,11362
11362,102,101,2655,2256,14977
14977,10069,1025,2029,2097,1999
1999,2051,102,101,3338,6728
6728,2063,1996,11223,1051,1005
1005,1996,4001,1998,3288,1999
1999,102,101,1996,21623,2000
2000,18082,1996,8125,1012,102
102,101,102,101,2273,18595
18595,2271,1024,102,101,2272
2272,1010,2438,1012,102,101
101,102,101,7987,23998,1024
1024,102,101,2438,1010,2007
2007,2058,1011,5468,1012,102
102,101,102,101,2522,9488
9488,5802,2271,1024,102,101
101,2053,1010,2202,2062,1024
1024,102,101,2054,2089,2022
2022,10741,2011,1010,2119,7746
7746,1998,2529,1010,102,101
101,7744,2054,1045,2203,2007
2007,2389,999,2023,3313,7425
7425,1010,102,101,2073,2028
2028,2112,2515,25134,2007,3426
3426,1010,1996,2060,102,101
101,15301,2302,2035,3114,1010
1010,2073,20262,1010,2516,1010
1010,9866,1010,102,101,3685
3685,16519,2021,2011,1996,6300
6300,2050,1998,2053,102,101
101,1997,2236,18173,1010,1011
1011,1011,2009,2442,18168,4183
4183,102,101,2613,26785,7971
7971,6447,1010,1998,2507,2126
2126,1996,2096,102,101,2000
2000,14480,7263,2791,1024,3800
3800,2061,19820,1005,1040,1010
1010,102,101,2009,4076,1010
1010,102,101,2498,2003,2589
2589,2000,3800,1012,3568,1010
1010,2022,19763,2818,2017,1010
1010,1011,1011,102,101,2017
2017,2008,2097,2022,2625,19725
19725,2084,29321,1010,102,101
101,2008,2293,1996,8050,2112
2112,1997,2110,102,101,2062
2062,2084,2017,4797,1996,2689
2689,2006,1005,1056,1010,2008
2008,9544,102,101,1037,7015
7015,2166,2077,1037,2146,1010
1010,1998,4299,102,101,2000
2000,5376,1037,2303,2007,1037
1037,4795,6887,7274,2594,102
102,101,2008,1005,1055,2469
2469,1997,2331,2302,2009,1010
1010,2012,2320,20228,12722,2041
2041,102,101,1996,4800,8525
8525,8718,3560,4416,1025,2292
2292,2068,2025,15385,102,101
101,1996,4086,2029,2003,2037
2037,9947,1024,2115,9841,17175
17175,3126,102,101,2158,17125
17125,2995,8689,1998,2022,16416
16416,6961,1996,2110,102,101
101,1997,2008,11109,2029,2323
2323,2468,1005,1056,1010,102
102,101,2025,2383,1996,2373
2373,2000,2079,1996,2204,2009
2009,2052,1010,102,101,2005
2005,1996,1999,2029,11089,2232
2232,2491,1005,1056,1012,102
102,101,102,101,7987,23998
23998,1024,102,101,2038,2056
2056,2438,1012,102,101,102
102,101,14387,5498,2271,1024
1024,102,101,2038,5287,2066
2066,1037,17328,1010,1998,4618
4618,3437,102,101,2004,17328
17328,2015,2079,1012,102,101
101,102,101,2522,9488,5802
5802,2271,1024,102,101,15223
15223,23277,3388,2818,1010,2750
2750,1051,1005,9413,2860,24546
24546,14992,999,102,101,2054
2054,2323,1996,2111,2079,2007
2007,2122,13852,10969,2015,1029
1029,102,101,2006,3183,5834
5834,1010,2037,22645,11896,102
102,101,2000,1996,3618,6847
6847,1024,1999,1037,7417,1010
1010,102,101,2043,2054,1005
1005,1055,2025,3113,1010,2021
2021,2054,2442,2022,1010,2001
2001,2375,1010,102,101,2059
2059,2020,2027,4217,1024,1999
1999,1037,2488,3178,1010,102
102,101,2292,2054,2003,3113
3113,2022,2056,2009,2442,2022
2022,3113,1010,102,101,1998
1998,5466,2037,2373,1045,1005
1005,1996,6497,1012,102,101
101,102,101,7987,23998,1024
1024,102,101,19676,14712,999
999,102,101,102,101,14387
14387,5498,2271,1024,102,101
101,2023,1037,11801,1029,2053
2053,1012,102,101,102,101
101,7987,23998,1024,102,101
101,1996,29347,4305,4244,1010
1010,7570,999,102,101,2292
2292,2032,2022,10439,2890,22342
22342,2098,1012,102,101,102
102,101,14387,5498,2271,1024
1024,102,101,2175,1010,2655
2655,1996,2111,1024,102,101
101,1999,3005,2171,2870,102
102,101,22476,14992,2004,1037
1037,17328,3560,7601,7103,4263
4263,1010,102,101,1037,22277
22277,2000,1996,2270,2057,2389
2389,1024,15470,1010,1045,3715
3715,14992,1010,102,101,1998
1998,3582,2000,4857,2063,3437
3437,1012,102,101,102,101
101,2522,9488,5802,2271,1024
1024,102,101,6516,1010,2214
2214,13555,999,102,101,102
102,101,10153,1010,1004,1039
1039,1024,102,101,2057,1005
1005,2222,2469,3723,2032,1012
1012,102,101,102,101,4012
4012,5498,2271,1024,102,101
101,4793,2909,1010,2398,2125
2125,1012,102,101,102,101
101,2522,9488,5802,2271,1024
1024,102,101,6516,1010,11083
11083,2518,999,2030,1045,4618
4618,6073,15177,5944,102,101
101,2041,1997,15177,21902,1012
1012,102,101,102,101,14387
14387,5498,2271,1024,102,101
101,2393,1010,6300,4480,999
999,102,101,102,101,2273
2273,18595,2271,1024,102,101
101,2006,2119,3903,2062,4847
4847,1012,102,101,102,101
101,14387,5498,2271,1024,102
102,101,2182,1005,1055,2002
2002,2008,2052,2202,2013,2017
2017,2035,2115,2373,1012,102
102,101,102,101,7987,23998
23998,1024,102,101,15126,2032
2032,1010,29347,4305,4244,999
999,102,101,102,101,4480
4480,1024,102,101,2091,2007
2007,2032,999,2091,2007,2032
2032,999,102,101,102,101
101,10153,1010,1004,1039,1024
1024,102,101,4255,1010,4255
4255,1010,4255,999,102,101
101,1005,10969,2015,999,1005
1005,1005,10717,3619,999,1005
1005,1005,4480,999,1005,1005
1005,2054,1010,7570,999,1005
1005,102,101,1005,14387,5498
5498,2271,999,1005,1005,7987
7987,23998,999,1005,1005,2522
2522,9488,5802,2271,999,1005
1005,1005,4480,999,1005,102
102,101,1005,3521,1010,3521
3521,1010,3521,999,1005,1005
1005,2994,1010,2907,1010,3521
3521,999,1005,102,101,102
102,101,2273,18595,2271,1024
1024,102,101,2054,2003,2055
2055,2000,2022,1029,1045,2572
2572,2041,1997,3052,1025,102
102,101,6724,1005,1055,2379
2379,1025,1045,3685,3713,1012
1012,2017,1010,10969,2015,102
102,101,2000,1996,2111,999
999,2522,9488,5802,2271,1010
1010,11752,999,102,101,3713
3713,1010,2204,14387,5498,2271
2271,1012,102,101,102,101
101,14387,5498,2271,1024,102
102,101,2963,2033,1010,2111
2111,1025,3521,999,102,101
101,102,101,4480,1024,102
102,101,2292,1005,1055,2963
2963,2256,10969,1024,3521,3713
3713,1010,3713,1010,3713,1012
1012,102,101,102,101,14387
14387,5498,2271,1024,102,101
101,2017,2024,2012,2391,2000
2000,4558,2115,18271,1024,102
102,101,7871,4173,2052,2031
2031,2035,2013,2017,1025,7871
7871,4173,1010,102,101,3183
3183,2397,2017,2031,2315,2005
2005,11801,1012,102,101,102
102,101,2273,18595,2271,1024
1024,102,101,10882,2063,1010
1010,10882,2063,1010,10882,2063
2063,999,102,101,2023,2003
2003,1996,2126,2000,2785,2571
2571,1010,2025,2000,10861,12680
12680,1012,102,101,102,101
101,2034,5205,1024,102,101
101,2000,4895,8569,4014,2094
